time,theta
3.645,0.00343523,-0.00160122
3.65,0.00342722,-0.00159869
3.655,0.00341923,-0.00159615
3.66,0.00341125,-0.00159362
3.665,0.00340328,-0.00159108
3.67,0.00339532,-0.00158855
3.675,0.00338738,-0.00158601
3.68,0.00337945,-0.00158348
3.685,0.00337153,-0.00158094
3.69,0.00336363,-0.00157841
3.695,0.00335574,-0.00157587
3.7,0.00334786,-0.00157334
3.705,0.00333999,-0.0015708
3.71,0.00333214,-0.00156827
3.715,0.00332429,-0.00156573
3.72,0.00331647,-0.0015632
3.725,0.00330865,-0.00156066
3.73,0.00330085,-0.00155813
3.735,0.00329306,-0.0015556
3.74,0.00328528,-0.00155306
3.745,0.00327751,-0.00155053
3.75,0.00326976,-0.001548
3.755,0.00326202,-0.00154546
3.76,0.00325429,-0.00154293
3.765,0.00324658,-0.0015404
3.77,0.00323888,-0.00153787
3.775,0.00323119,-0.00153534
3.78,0.00322351,-0.00153281
3.785,0.00321585,-0.00153028
3.79,0.00320819,-0.00152775
3.795,0.00320056,-0.00152522
3.8,0.00319293,-0.00152269
3.805,0.00318532,-0.00152016
3.81,0.00317772,-0.00151763
3.815,0.00317013,-0.0015151
3.82,0.00316255,-0.00151258
3.825,0.00315499,-0.00151005
3.83,0.00314744,-0.00150752
3.835,0.0031399,-0.001505
3.84,0.00313238,-0.00150247
3.845,0.00312486,-0.00149995
3.85,0.00311736,-0.00149743
3.855,0.00310988,-0.00149491
3.86,0.0031024,-0.00149238
3.865,0.00309494,-0.00148986
3.87,0.00308749,-0.00148734
3.875,0.00308005,-0.00148482
3.88,0.00307263,-0.0014823
3.885,0.00306522,-0.00147978
3.89,0.00305782,-0.00147727
3.895,0.00305043,-0.00147475
3.9,0.00304306,-0.00147223
3.905,0.0030357,-0.00146972
3.91,0.00302835,-0.00146721
3.915,0.00302101,-0.00146469
3.92,0.00301369,-0.00146218
3.925,0.00300638,-0.00145967
3.93,0.00299908,-0.00145716
3.935,0.0029918,-0.00145465
3.94,0.00298452,-0.00145214
3.945,0.00297726,-0.00144963
3.95,0.00297001,-0.00144712
3.955,0.00296278,-0.00144462
3.96,0.00295555,-0.00144211
3.965,0.00294834,-0.00143961
3.97,0.00294115,-0.00143711
3.975,0.00293396,-0.0014346
3.98,0.00292679,-0.0014321
3.985,0.00291963,-0.0014296
3.99,0.00291248,-0.00142711
3.995,0.00290534,-0.00142461
4,0.00289822,-0.00142211
4.005,0.00289111,-0.00141962
4.01,0.00288401,-0.00141712
4.015,0.00287693,-0.00141463
4.02,0.00286985,-0.00141214
4.025,0.00286279,-0.00140965
4.03,0.00285574,-0.00140716
4.035,0.00284871,-0.00140467
4.04,0.00284168,-0.00140218
4.045,0.00283467,-0.0013997
4.05,0.00282768,-0.00139721
4.055,0.00282069,-0.00139473
4.06,0.00281372,-0.00139225
4.065,0.00280675,-0.00138977
4.07,0.00279981,-0.00138729
4.075,0.00279287,-0.00138481
4.08,0.00278594,-0.00138233
4.085,0.00277903,-0.00137986
